Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","30810","X","Figure from international organizations"
"FBS","Food Balances (2010-)","120","Cameroon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","25216","X","Figure from international organizations"
"FBS","Food Balances (2010-)","140","Central African Republic","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4666","X","Figure from international organizations"
"FBS","Food Balances (2010-)","148","Chad","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","15478","X","Figure from international organizations"
"FBS","Food Balances (2010-)","178","Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5244","X","Figure from international organizations"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","84068.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","266","Gabon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2119","X","Figure from international organizations"
"FBS","Food Balances (2010-)","398","Kazakhstan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","18320","X","Figure from international organizations"
"FBS","Food Balances (2010-)","417","Kyrgyzstan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","6304","X","Figure from international organizations"
"FBS","Food Balances (2010-)","678","Sao Tome and Principe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","211","X","Figure from international organizations"
"FBS","Food Balances (2010-)","762","Tajikistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","9100.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","795","Turkmenistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5851","X","Figure from international organizations"
"FBS","Food Balances (2010-)","860","Uzbekistan","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","32476","X","Figure from international organizations"
