Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","30810","X","Figure from international organizations"
"FBS","Food Balances (2010-)","116","Cambodia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","16250","X","Figure from international organizations"
"FBS","Food Balances (2010-)","120","Cameroon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","25216","X","Figure from international organizations"
"FBS","Food Balances (2010-)","140","Central African Republic","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4666","X","Figure from international organizations"
"FBS","Food Balances (2010-)","148","Chad","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","15478","X","Figure from international organizations"
"FBS","Food Balances (2010-)","178","Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5244","X","Figure from international organizations"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","84068.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","266","Gabon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2119","X","Figure from international organizations"
"FBS","Food Balances (2010-)","360","Indonesia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","267671","X","Figure from international organizations"
"FBS","Food Balances (2010-)","418","Lao People's Democratic Republic","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","7062","X","Figure from international organizations"
"FBS","Food Balances (2010-)","458","Malaysia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","31528","X","Figure from international organizations"
"FBS","Food Balances (2010-)","104","Myanmar","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","53708","X","Figure from international organizations"
"FBS","Food Balances (2010-)","608","Philippines","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","106651","X","Figure from international organizations"
"FBS","Food Balances (2010-)","678","Sao Tome and Principe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","211","X","Figure from international organizations"
"FBS","Food Balances (2010-)","764","Thailand","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","69428","X","Figure from international organizations"
"FBS","Food Balances (2010-)","626","Timor-Leste","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","1268","X","Figure from international organizations"
"FBS","Food Balances (2010-)","704","Viet Nam","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","95546","X","Figure from international organizations"
