Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","024","Angola","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","30810","X","Figure from international organizations"
"FBS","Food Balances (2010-)","072","Botswana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2254","X","Figure from international organizations"
"FBS","Food Balances (2010-)","120","Cameroon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","25216","X","Figure from international organizations"
"FBS","Food Balances (2010-)","140","Central African Republic","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","4666","X","Figure from international organizations"
"FBS","Food Balances (2010-)","148","Chad","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","15478","X","Figure from international organizations"
"FBS","Food Balances (2010-)","178","Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","5244","X","Figure from international organizations"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","84068.09","X","Figure from international organizations"
"FBS","Food Balances (2010-)","748","Eswatini","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","1136","X","Figure from international organizations"
"FBS","Food Balances (2010-)","266","Gabon","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2119","X","Figure from international organizations"
"FBS","Food Balances (2010-)","426","Lesotho","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2108","X","Figure from international organizations"
"FBS","Food Balances (2010-)","516","Namibia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","2448","X","Figure from international organizations"
"FBS","Food Balances (2010-)","678","Sao Tome and Principe","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","211","X","Figure from international organizations"
"FBS","Food Balances (2010-)","710","South Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 persons","57793","X","Figure from international organizations"
